Tweet_count,Username,Text,Created At,Retweets,Likes
1,The Nicolas Bowling Show,"I see #BillGates back in the news cycle. Here is a clip and expert from my documentary exposing how Bill Gates PROFITED off the #COVID #pandemic and the #vaccine.  Just months before patient zero in 2019, Bill Gates invested 55 million dollars in BioNTech. The same company that https://t.co/0zT7ynd4m6",Sat Dec 28 04:47:46 +0000 2024,12,18
2,lucy 🇨🇦🇺🇸,Can someone explain to me the connection between #Covid and the rapidly increasing spread of #norovirus? https://t.co/t5CbtrxyQG,Mon Dec 30 18:33:44 +0000 2024,23,149
3,RealityDistortionFields,The following states have permanently banned mask mandates and vaccine mandates. #Covid #DeSantis 😷💉 https://t.co/fg9kfXRmfe,Tue Dec 31 12:20:59 +0000 2024,68,285
4,lucy 🇨🇦🇺🇸,"Happy my son tested neg. for #Covid, but the fact that my exes family engaged in risky behaviour, with medically fragile people present, and there was seemingly no consequence raises the risk level, ultimately for us all. So many competing and ambivalent feelings ALL THE TIME. https://t.co/edNh38kW1y",Mon Dec 30 23:58:24 +0000 2024,0,37
5,The Final Hours777,"(#PLANDEMIC): 🇨🇳 Increasing cases of HMPV Metapneumovirus Infections among humans have been reported in #China.  Symptoms similar to a cold, flu or #Covid-19 has also spread in the #US.  🇺🇸 The Department of Agriculture authorized the importation of a live (aMPV) vaccine. https://t.co/PayHDqguvd",Sun Dec 29 13:22:29 +0000 2024,7,5
6,Dr Mahendra G Patel OBE 🕉,This young man talks so much sense @RoyLilley @SkyNews —constant breath of common sense!  Take heed as 2024 comes to close with quad-demic now circulating in UK: — GET VACCINATED — 4 major viruses on the march TOGETHER! — Mask &amp; ventilate room — Don’t ignore learning from #COVID https://t.co/2rn9WeBrnu,Sun Dec 29 09:03:44 +0000 2024,33,88
7,VaccinesToday,"In cold seasons, the spread of respiratory viruses increases. Spread the word, not viruses. #InformAndProtect #vaccine #influenza #rsv #covid https://t.co/QuQkCoyIvf",Mon Dec 30 07:53:00 +0000 2024,0,0
8,No Lies. Trump HATES America but LOVES Russia.,"Now, we have this Bird Flu. Wonder how many Americans will die from this now that Dump is coming back in. Oh well, at least he gets to play golf. #Covid #Trump #MAGA #patriot #GOP #BirdFlu https://t.co/q7a2t3U638",Mon Dec 30 15:28:44 +0000 2024,24,35
9,🅺🆁🅾🅷🅽 🆉🅾🅽🅴,Reflections from #Covid - it was impossible to find a barber in WA State so this happened 🤦🏼‍♂️🤷🏽‍♂️😆 https://t.co/YW6W8KYlRu,Sat Dec 28 22:45:45 +0000 2024,1,6
10,Hi! I’m H5N1🐔🦠☠️,"Hi everybody!  It’s so exciting! I think 2025 is going to be my year!  Thanks to you humans for ignoring my approach and downplaying my severity!  Now, don’t go wearing a mask. That would spoil the party!  #HappyFluYear!!!  #H5N1 #Covid #Flu #MaskUp https://t.co/p16OLKeflh",Sun Dec 29 21:49:24 +0000 2024,3,18
